ts,pid,side,raw_x,raw_y,smooth_x,smooth_y,conf,state
1780649246.123,0,L,699.5,485.7,699.5,485.7,0.373,Q=0.5 [still]
1780649246.123,0,R,693.3,486.6,693.3,486.6,0.377,Q=0.5 [still]
1780649246.153,0,L,699.5,485.7,699.5,485.7,0.373,Q=0.0 [still]
1780649246.154,0,R,693.3,486.6,693.3,486.6,0.377,Q=0.0 [still]
1780649247.394,0,L,34.0,375.9,34.0,375.9,0.532,Q=0.5 [still]
1780649247.394,0,R,27.2,374.3,27.2,374.3,0.387,Q=0.5 [still]
1780649261.328,0,L,379.9,281.3,379.9,281.3,0.714,Q=0.5 [still]
1780649261.328,0,R,408.4,364.9,408.4,364.9,0.652,Q=0.5 [still]
1780649261.359,0,L,379.9,281.3,379.9,281.3,0.714,Q=0.0 [still]
1780649261.359,0,R,408.4,364.9,408.4,364.9,0.652,Q=0.0 [still]
1780649261.454,0,L,369.8,424.0,379.9,281.3,0.517,Q=0.0 [outlier]
1780649261.454,0,R,392.8,460.6,393.0,459.8,0.571,Q=800.0 [moving]
1780649261.485,0,L,369.8,424.0,379.9,281.3,0.517,Q=0.0 [outlier]
1780649261.486,0,R,392.8,460.6,392.8,460.6,0.571,Q=0.0 [still]
1780649261.515,0,L,369.8,424.0,379.9,281.3,0.517,Q=0.0 [outlier]
1780649261.515,0,R,392.8,460.6,392.8,460.7,0.571,Q=0.0 [still]
1780649261.548,0,L,369.8,424.0,379.9,281.3,0.517,Q=0.0 [outlier]
1780649261.549,0,R,392.8,460.6,392.8,460.7,0.571,Q=0.0 [still]
1780649261.577,0,L,374.9,401.5,379.9,281.3,0.406,Q=0.0 [outlier]
1780649261.577,0,R,411.3,476.1,411.2,475.9,0.449,Q=800.0 [moving]
1780649261.607,0,L,374.9,401.5,379.9,281.3,0.406,Q=0.0 [outlier]
1780649261.607,0,R,411.3,476.1,411.3,476.1,0.449,Q=0.0 [still]
1780649264.311,0,L,308.8,360.0,308.8,360.0,0.387,Q=0.5 [still]
1780649264.341,0,L,308.8,360.0,308.8,360.0,0.387,Q=0.0 [still]
1780649264.460,0,L,290.5,373.1,290.7,373.0,0.478,Q=800.0 [moving]
1780649264.491,0,L,345.5,406.5,345.3,406.3,0.577,Q=800.0 [moving]
1780649264.491,0,R,235.5,450.7,235.5,450.7,0.379,Q=0.5 [still]
1780649264.522,0,L,345.5,406.5,345.6,406.5,0.577,Q=0.0 [still]
1780649264.522,0,R,235.5,450.7,235.5,450.7,0.379,Q=0.0 [still]
1780649264.897,0,L,296.7,330.8,296.8,331.0,0.632,Q=800.0 [moving]
1780649264.897,0,R,172.2,381.1,172.5,381.5,0.503,Q=800.0 [moving]
1780649264.929,0,L,355.4,382.5,355.1,382.2,0.616,Q=800.0 [moving]
1780649264.929,0,R,290.5,435.7,169.6,378.3,0.523,Q=800.0 [outlier]
1780649264.958,0,L,355.4,382.5,355.4,382.6,0.616,Q=0.0 [still]
1780649264.958,0,R,290.5,435.7,166.8,375.2,0.523,Q=800.0 [outlier]
1780649264.988,0,L,362.0,349.7,362.0,350.0,0.844,Q=800.0 [moving]
1780649264.988,0,R,335.6,423.0,163.9,372.0,0.819,Q=800.0 [outlier]
1780649265.019,0,L,362.0,349.7,362.0,349.7,0.844,Q=0.0 [still]
1780649265.019,0,R,335.6,423.0,161.0,368.9,0.819,Q=800.0 [outlier]
1780649265.050,0,R,378.0,439.2,158.2,365.8,0.404,Q=800.0 [outlier]
1780649265.081,0,R,378.0,439.2,155.3,362.6,0.404,Q=800.0 [outlier]
1780649265.112,0,R,394.0,436.3,152.5,359.5,0.405,Q=800.0 [outlier]
1780649265.143,0,R,394.0,436.3,149.6,356.3,0.405,Q=800.0 [outlier]
1780649265.175,0,L,359.0,357.0,359.0,357.0,0.554,Q=800.0 [moving]
1780649265.175,0,R,213.9,379.4,213.9,379.4,0.572,Q=800.0 [moving]
1780649265.205,0,L,359.0,357.0,359.0,357.1,0.554,Q=0.0 [still]
1780649265.205,0,R,213.9,379.4,213.9,379.4,0.572,Q=0.0 [still]
1780649265.237,0,L,339.0,385.9,339.2,385.6,0.689,Q=800.0 [moving]
1780649265.237,0,R,167.7,404.0,168.1,403.7,0.653,Q=800.0 [moving]
1780649265.269,0,L,339.0,385.9,339.0,385.9,0.689,Q=0.0 [still]
1780649265.269,0,R,167.7,404.0,167.7,404.0,0.653,Q=0.0 [still]
1780649265.299,0,L,339.0,385.9,339.0,385.9,0.689,Q=0.0 [still]
1780649265.299,0,R,167.7,404.0,167.7,404.0,0.653,Q=0.0 [still]
1780649265.360,0,L,365.3,402.8,365.1,402.6,0.603,Q=800.0 [moving]
1780649265.360,0,R,276.2,416.0,275.1,415.9,0.522,Q=800.0 [moving]
1780649265.391,0,L,352.6,313.2,352.6,313.7,0.712,Q=800.0 [moving]
1780649265.391,0,R,270.0,344.1,270.0,344.5,0.647,Q=800.0 [moving]
1780649265.422,0,L,352.6,313.2,352.6,313.1,0.712,Q=0.0 [still]
1780649265.422,0,R,270.0,344.1,270.0,344.0,0.647,Q=0.0 [still]
1780649265.456,0,L,347.1,297.0,347.1,297.1,0.755,Q=800.0 [moving]
1780649265.456,0,R,228.1,324.8,228.5,325.0,0.639,Q=800.0 [moving]
1780649265.487,0,L,347.1,297.0,347.1,297.0,0.755,Q=0.0 [still]
1780649265.488,0,R,228.1,324.8,228.1,324.8,0.639,Q=0.0 [still]
1780649265.516,0,L,346.5,312.8,346.5,312.7,0.743,Q=800.0 [moving]
1780649265.516,0,R,313.2,362.7,312.4,362.3,0.688,Q=800.0 [moving]
1780649265.547,0,L,346.5,312.8,346.5,312.8,0.743,Q=0.0 [still]
1780649265.547,0,R,313.2,362.7,313.2,362.7,0.688,Q=0.0 [still]
1780649265.578,0,L,354.1,345.7,354.0,345.4,0.704,Q=800.0 [moving]
1780649265.578,0,R,341.8,392.4,341.5,392.1,0.644,Q=800.0 [moving]
1780649265.608,0,L,354.1,345.7,354.1,345.7,0.704,Q=0.0 [still]
