ts,pid,side,x,y,conf,source
1780661697.731,0,L,538.0,407.5,0.984,direct
1780661697.731,0,R,485.6,481.7,0.994,direct
1780661697.776,0,L,538.0,407.5,0.984,direct
1780661697.776,0,R,485.6,481.7,0.994,direct
1780661697.815,0,L,538.2,406.5,0.984,direct
1780661697.815,0,R,486.0,481.2,0.993,direct
1780661697.854,0,L,538.2,406.1,0.984,direct
1780661697.854,0,R,486.2,481.0,0.993,direct
1780661697.892,0,L,538.3,406.4,0.987,direct
1780661697.892,0,R,487.1,478.1,0.994,direct
1780661697.930,0,L,538.3,406.5,0.987,direct
1780661697.930,0,R,487.1,477.8,0.994,direct
1780661697.983,0,L,538.4,406.3,0.993,direct
1780661697.983,0,R,491.0,477.6,0.996,direct
1780661698.032,0,L,538.5,406.2,0.993,direct
1780661698.033,0,R,491.2,477.6,0.996,direct
1780661698.066,0,L,538.1,407.0,0.992,direct
1780661698.066,0,R,489.6,477.3,0.996,direct
1780661698.109,0,L,537.9,407.5,0.992,direct
1780661698.109,0,R,489.2,477.2,0.996,direct
1780661698.144,0,L,538.1,407.1,0.994,direct
1780661698.144,0,R,488.4,475.0,0.997,direct
1780661698.183,0,L,536.9,404.5,0.994,direct
1780661698.183,0,R,489.8,475.9,0.997,direct
1780661698.218,0,L,536.8,404.2,0.994,direct
1780661698.218,0,R,490.0,476.0,0.997,direct
1780661698.256,0,L,533.3,421.2,0.968,direct
1780661698.256,0,R,482.8,457.9,0.980,direct
1780661698.301,0,L,536.8,404.9,0.990,direct
1780661698.301,0,R,485.5,476.7,0.995,direct
1780661698.347,0,L,536.8,404.8,0.990,direct
1780661698.347,0,R,485.6,476.9,0.995,direct
1780661698.383,0,L,533.8,403.8,0.988,direct
1780661698.383,0,R,484.9,476.6,0.995,direct
1780661698.425,0,L,533.8,403.8,0.988,direct
1780661698.425,0,R,484.7,476.6,0.995,direct
1780661698.458,0,L,532.6,424.9,0.950,direct
1780661698.458,0,R,483.6,463.4,0.970,direct
1780661698.494,0,L,532.6,425.1,0.950,direct
1780661698.494,0,R,483.6,463.2,0.970,direct
1780661698.536,0,L,535.1,424.5,0.943,direct
1780661698.536,0,R,484.6,462.3,0.967,direct
1780661698.584,0,L,535.1,424.5,0.943,direct
1780661698.584,0,R,484.8,462.1,0.967,direct
1780661698.622,0,L,535.0,424.8,0.955,direct
1780661698.622,0,R,488.1,463.1,0.972,direct
1780661698.657,0,L,534.9,424.9,0.955,direct
1780661698.657,0,R,488.2,463.2,0.972,direct
1780661698.696,0,L,535.6,424.7,0.945,direct
1780661698.696,0,R,488.7,460.2,0.963,direct
1780661698.736,0,L,535.8,424.6,0.945,direct
1780661698.736,0,R,488.8,460.0,0.963,direct
1780661698.770,0,L,540.2,408.9,0.971,direct
1780661698.770,0,R,499.5,457.8,0.984,direct
1780661698.803,0,L,543.3,411.4,0.989,direct
1780661698.803,0,R,507.5,451.7,0.992,direct
1780661698.866,0,L,542.6,409.0,0.992,direct
1780661698.866,0,R,507.4,457.4,0.994,direct
1780661698.911,0,L,542.6,409.0,0.992,direct
1780661698.911,0,R,507.4,457.5,0.994,direct
1780661698.948,0,L,542.6,410.2,0.984,direct
1780661698.948,0,R,495.8,465.6,0.988,direct
1780661698.988,0,L,542.6,410.4,0.984,direct
1780661698.988,0,R,495.7,465.7,0.988,direct
1780661699.026,0,L,543.8,411.3,0.983,direct
1780661699.026,0,R,495.5,465.3,0.987,direct
1780661699.068,0,L,544.2,411.6,0.983,direct
1780661699.068,0,R,495.5,465.2,0.987,direct
1780661699.108,0,L,543.3,411.4,0.973,direct
1780661699.108,0,R,496.7,467.4,0.979,direct
1780661699.151,0,L,542.7,411.2,0.973,direct
1780661699.151,0,R,496.7,467.4,0.979,direct
1780661699.192,0,L,541.4,414.9,0.967,direct
1780661699.193,0,R,498.4,466.6,0.974,direct
1780661699.229,0,L,541.3,415.1,0.967,direct
