ts,track_id,side,x,y,conf,source
1780885435.284,1,L,645.5,418.4,0.191,low_conf_fused
1780885436.122,1,L,645.5,418.4,0.350,predicted
1780885436.153,1,L,645.5,418.4,0.300,predicted
1780885436.185,1,L,645.5,418.4,0.250,predicted
1780885436.220,1,L,645.5,418.4,0.200,predicted
1780885436.255,1,L,645.5,418.4,0.150,predicted
1780885436.294,1,L,645.5,418.4,0.100,predicted
1780885436.327,1,L,645.5,418.4,0.100,predicted
1780885436.359,1,L,645.5,418.4,0.100,predicted
1780885436.392,1,L,645.5,418.4,0.100,predicted
1780885436.424,1,L,645.5,418.4,0.100,predicted
1780885436.455,1,L,645.5,418.4,0.100,predicted
1780885436.490,1,L,645.5,418.4,0.100,predicted
1780885436.522,1,L,645.5,418.4,0.100,predicted
1780885436.554,1,L,645.5,418.4,0.100,predicted
1780885436.598,1,L,645.5,418.4,0.100,predicted
1780885436.630,1,L,645.5,418.4,0.100,predicted
1780885436.662,1,L,645.5,418.4,0.100,predicted
1780885436.697,1,L,645.5,418.4,0.100,predicted
1780885436.740,1,L,645.5,418.4,0.100,predicted
1780885436.772,1,L,645.5,418.4,0.100,predicted
1780885436.803,1,L,645.5,418.4,0.100,predicted
1780885436.835,1,L,645.5,418.4,0.100,predicted
1780885436.867,1,L,645.5,418.4,0.100,predicted
1780885436.899,1,L,645.5,418.4,0.100,predicted
1780885436.935,1,L,645.5,418.4,0.100,predicted
1780885436.978,1,L,645.5,418.4,0.100,predicted
1780885437.025,1,L,645.5,418.4,0.100,predicted
1780885437.073,1,L,645.5,418.4,0.100,predicted
1780885437.073,1,R,493.9,540.5,0.189,low_conf_fused
1780885437.110,1,L,645.5,418.4,0.100,predicted
1780885437.110,1,R,493.9,540.5,0.189,low_conf_fused
1780885437.149,1,L,645.5,418.4,0.100,predicted
1780885437.149,1,R,493.9,540.5,0.189,low_conf_fused
1780885437.184,1,L,645.5,418.4,0.100,predicted
1780885437.184,1,R,493.9,540.5,0.189,low_conf_fused
1780885437.230,1,L,645.5,418.4,0.100,predicted
1780885437.230,1,R,493.9,540.5,0.350,predicted
1780885437.277,1,L,645.5,418.4,0.100,predicted
1780885437.277,1,R,493.9,540.5,0.300,predicted
1780885437.321,1,L,645.5,418.4,0.100,predicted
1780885437.321,1,R,493.9,540.5,0.250,predicted
1780885437.357,1,L,645.5,418.4,0.470,direct
1780885437.357,1,R,493.9,540.5,0.565,direct
1780885437.403,1,L,645.5,418.4,0.277,low_conf_fused
1780885437.403,1,R,493.9,540.5,0.546,direct
1780885437.447,1,L,645.5,418.4,0.277,low_conf_fused
